user_id,event_name,event_time,source,platform,country,value
1,app_open,2025-09-07 19:27:00.000000000,referral,ios,BY,
1,view_landing,2025-09-07 19:36:00.000000000,referral,ios,BY,
2,app_open,2025-09-11 09:58:00.000000000,paid_search,android,BY,
2,view_landing,2025-09-11 10:01:00.000000000,paid_search,android,BY,
2,sign_up,2025-09-11 10:14:00.000000000,paid_search,android,BY,
2,kyc_completed,2025-09-13 08:52:33.369008007,paid_search,android,BY,
3,app_open,2025-09-26 19:44:00.000000000,email,web,RU,
3,view_landing,2025-09-26 19:49:00.000000000,email,web,RU,
4,app_open,2025-09-03 23:04:00.000000000,social_ads,ios,RU,
4,view_landing,2025-09-03 23:06:00.000000000,social_ads,ios,RU,
5,app_open,2025-09-04 04:22:00.000000000,organic,ios,RU,
5,view_landing,2025-09-04 04:27:00.000000000,organic,ios,RU,
5,sign_up,2025-09-04 06:09:00.000000000,organic,ios,RU,
5,kyc_completed,2025-09-06 02:10:16.368847643,organic,ios,RU,
5,deposit_success,2025-09-08 08:50:05.386951837,organic,ios,RU,3392.49
5,first_trade,2025-09-10 00:32:10.471300858,organic,ios,RU,1861.91
6,app_open,2025-09-10 00:08:00.000000000,email,android,RU,
6,view_landing,2025-09-10 00:18:00.000000000,email,android,RU,
6,sign_up,2025-09-10 01:29:00.000000000,email,android,RU,
6,kyc_completed,2025-09-12 15:57:09.844960070,email,android,RU,
6,deposit_success,2025-09-16 10:26:36.647358209,email,android,RU,3275.12
6,first_trade,2025-09-17 04:07:43.661859142,email,android,RU,4922.6
7,app_open,2025-09-19 02:10:00.000000000,referral,web,RU,
7,sign_up,2025-09-19 02:15:00.000000000,referral,web,RU,
7,view_landing,2025-09-19 02:25:00.000000000,referral,web,RU,
7,kyc_completed,2025-09-19 13:02:10.699597309,referral,web,RU,
8,app_open,2025-09-25 03:37:00.000000000,referral,android,UZ,
8,view_landing,2025-09-25 03:51:00.000000000,referral,android,UZ,
8,sign_up,2025-09-25 04:49:00.000000000,referral,android,UZ,
8,kyc_completed,2025-09-27 11:54:45.463397581,referral,android,UZ,
9,app_open,2025-09-17 20:37:00.000000000,organic,android,RU,
9,view_landing,2025-09-17 20:41:00.000000000,organic,android,RU,
9,sign_up,2025-09-17 21:02:00.000000000,organic,android,RU,
9,kyc_completed,2025-09-19 18:08:39.155939464,organic,android,RU,
9,deposit_success,2025-09-20 12:47:38.607807814,organic,android,RU,2249.37
9,first_trade,2025-09-20 20:39:37.870529231,organic,android,RU,2188.75
10,app_open,2025-09-15 17:27:00.000000000,paid_search,android,RU,
10,view_landing,2025-09-15 17:30:00.000000000,paid_search,android,RU,
10,sign_up,2025-09-15 19:18:00.000000000,paid_search,android,RU,
10,kyc_completed,2025-09-16 03:38:17.939448747,paid_search,android,RU,
10,deposit_success,2025-09-19 16:17:02.176041256,paid_search,android,RU,3936.19
10,first_trade,2025-09-20 23:08:00.576953921,paid_search,android,RU,1618.8
11,app_open,2025-09-27 00:19:00.000000000,paid_search,ios,BY,
11,view_landing,2025-09-27 00:35:00.000000000,paid_search,ios,BY,
12,app_open,2025-09-06 01:21:00.000000000,email,android,RU,
12,view_landing,2025-09-06 01:33:00.000000000,email,android,RU,
12,sign_up,2025-09-06 03:31:00.000000000,email,android,RU,
12,kyc_completed,2025-09-06 21:42:12.930371941,email,android,RU,
12,deposit_success,2025-09-07 10:37:37.464604986,email,android,RU,5077.4
12,first_trade,2025-09-07 19:18:59.131762788,email,android,RU,4674.11
13,app_open,2025-09-27 22:17:00.000000000,social_ads,ios,RU,
13,view_landing,2025-09-27 22:33:00.000000000,social_ads,ios,RU,
13,sign_up,2025-09-28 01:14:00.000000000,social_ads,ios,RU,
13,kyc_completed,2025-09-30 14:18:52.835455124,social_ads,ios,RU,
13,deposit_success,2025-10-03 01:33:38.786488751,social_ads,ios,RU,2361.31
13,first_trade,2025-10-05 00:35:04.542931567,social_ads,ios,RU,3238.99
14,app_open,2025-09-10 08:59:00.000000000,email,android,RU,
14,sign_up,2025-09-10 09:05:00.000000000,email,android,RU,
